Codi;Nom;Codi comarca;Nom comarca
250864;Esterri d'Àneu;26;Pallars Sobirà
250870;Esterri de Cardós;26;Pallars Sobirà
430555;Falset;29;Priorat
170059;Far d'Empordà, el;2;Alt Empordà
250899;Farrera;26;Pallars Sobirà
430568;Fatarella, la;37;Terra Alta
430574;Febró, la;8;Baix Camp
81347;Figaró-Montmany;41;Vallès Oriental
80804;Fígols;14;Berguedà
259084;Fígols i Alinyà;4;Alt Urgell
430580;Figuera, la;29;Priorat
170669;Figueres;2;Alt Empordà
430593;Figuerola del Camp;1;Alt Camp
170675;Flaçà;20;Gironès
430607;Flix;30;Ribera d'Ebre
250925;Floresta, la;18;Garrigues
80826;Fogars de la Selva;34;Selva
80811;Fogars de Montclús;41;Vallès Oriental
170681;Foixà;10;Baix Empordà
80832;Folgueroles;24;Osona
250931;Fondarella;27;Pla d'Urgell
80847;Fonollosa;7;Bages
80850;Font-rubí;3;Alt Penedès
170694;Fontanals de Cerdanya;15;Cerdanya
170708;Fontanilles;10;Baix Empordà
170715;Fontcoberta;28;Pla de l'Estany
250946;Foradada;23;Noguera
179026;Forallac;10;Baix Empordà
430614;Forès;16;Conca de Barberà
170736;Fornells de la Selva;20;Gironès
170741;Fortià;2;Alt Empordà
80863;Franqueses del Vallès, les;41;Vallès Oriental
430629;Freginals;22;Montsià
250962;Fuliola, la;38;Urgell
250978;Fulleda;18;Garrigues
80902;Gaià;7;Bages
430635;Galera, la;22;Montsià
80879;Gallifa;40;Vallès Occidental
430640;Gandesa;37;Terra Alta
430653;Garcia;30;Ribera d'Ebre
430666;Garidells, els;1;Alt Camp
80885;Garriga, la;41;Vallès Oriental
170754;Garrigàs;2;Alt Empordà
170767;Garrigoles;10;Baix Empordà
170773;Garriguella;2;Alt Empordà
80898;Gavà;11;Baix Llobregat
250984;Gavet de la Conca;25;Pallars Jussà
80919;Gelida;3;Alt Penedès
170789;Ger;15;Cerdanya
259123;Gimenells i el Pla de la Font;33;Segrià
430672;Ginestar;30;Ribera d'Ebre
170792;Girona;20;Gironès
80924;Gironella;14;Berguedà
80930;Gisclareny;14;Berguedà
430688;Godall;22;Montsià
250997;Golmés;27;Pla d'Urgell
170806;Gombrèn;31;Ripollès
251001;Gósol;14;Berguedà
80945;Granada, la;3;Alt Penedès
251018;Granadella, la;18;Garrigues
80958;Granera;42;Moianès
251023;Granja d'Escarp, la;33;Segrià
80961;Granollers;41;Vallès Oriental
251039;Granyanella;32;Segarra
251057;Granyena de les Garrigues;18;Garrigues
251044;Granyena de Segarra;32;Segarra
430691;Gratallops;29;Priorat
80977;Gualba;41;Vallès Oriental
170813;Gualta;10;Baix Empordà
80996;Guardiola de Berguedà;14;Berguedà
430705;Guiamets, els;29;Priorat
170828;Guils de Cerdanya;15;Cerdanya
251095;Guimerà;38;Urgell
259031;Guingueta d'Àneu, la;26;Pallars Sobirà
251109;Guissona;32;Segarra
251116;Guixers;35;Solsonès
81000;Gurb;24;Osona
430712;Horta de Sant Joan;37;Terra Alta
81017;Hospitalet de Llobregat, l';13;Barcelonès
81629;Hostalets de Pierola, els;6;Anoia
170834;Hostalric;34;Selva
81022;Igualada;6;Anoia
251155;Isona i Conca Dellà;25;Pallars Jussà
170849;Isòvol;15;Cerdanya
251137;Ivars d'Urgell;27;Pla d'Urgell
251121;Ivars de Noguera;23;Noguera
251142;Ivorra;32;Segarra
170852;Jafre;10;Baix Empordà
170865;Jonquera, la;2;Alt Empordà
81038;Jorba;6;Anoia
259101;Josa i Tuixén;4;Alt Urgell
170871;Juià;20;Gironès
251180;Juncosa;18;Garrigues
251193;Juneda;18;Garrigues
251214;Les;39;Aran
251229;Linyola;27;Pla d'Urgell
81043;Llacuna, la;6;Anoia
170887;Lladó;2;Alt Empordà
251235;Lladorre;26;Pallars Sobirà
251240;Lladurs;35;Solsonès
81056;Llagosta, la;41;Vallès Oriental
170890;Llagostera;20;Gironès
170904;Llambilles;20;Gironès
170911;Llanars;31;Ripollès
170926;Llançà;2;Alt Empordà
251253;Llardecans;33;Segrià
251266;Llavorsí;26;Pallars Sobirà
251207;Lleida;33;Segrià
170932;Llers;2;Alt Empordà
251272;Lles de Cerdanya;15;Cerdanya
81075;Lliçà d'Amunt;41;Vallès Oriental
81081;Lliçà de Vall;41;Vallès Oriental
251288;Llimiana;25;Pallars Jussà
81069;Llinars del Vallès;41;Vallès Oriental
170947;Llívia;15;Cerdanya
430727;Lloar, el;29;Priorat
251291;Llobera;35;Solsonès
430733;Llorac;16;Conca de Barberà
430748;Llorenç del Penedès;12;Baix Penedès
170950;Lloret de Mar;34;Selva
170963;Llosses, les;31;Ripollès
81094;Lluçà;24;Osona
171024;Maçanet de Cabrenys;2;Alt Empordà
171030;Maçanet de la Selva;34;Selva
170979;Madremanya;20;Gironès
170985;Maià de Montcal;19;Garrotxa
251333;Maials;33;Segrià
251305;Maldà;38;Urgell
81108;Malgrat de Mar;21;Maresme
81115;Malla;24;Osona
81120;Manlleu;24;Osona
81136;Manresa;7;Bages
430764;Marçà;29;Priorat
430751;Margalef;29;Priorat
82423;Marganell;7;Bages
81141;Martorell;11;Baix Llobregat
81154;Martorelles;41;Vallès Oriental
430770;Mas de Barberans;22;Montsià
171002;Masarac;2;Alt Empordà
430786;Masdenverge;22;Montsià
81167;Masies de Roda, les;24;Osona
81173;Masies de Voltregà, les;24;Osona
430799;Masllorenç;12;Baix Penedès
81189;Masnou, el;21;Maresme
430803;Masó, la;1;Alt Camp
430810;Maspujols;8;Baix Camp
81192;Masquefa;6;Anoia
430825;Masroig, el;29;Priorat
251312;Massalcoreig;33;Segrià
171019;Massanes;34;Selva
251327;Massoteres;32;Segarra
81206;Matadepera;40;Vallès Occidental
81213;Mataró;21;Maresme
81228;Mediona;3;Alt Penedès
251348;Menàrguens;23;Noguera
170998;Meranges;15;Cerdanya
171058;Mieres;19;Garrotxa
430831;Milà, el;1;Alt Camp
251351;Miralcamp;27;Pla d'Urgell
430846;Miravet;30;Ribera d'Ebre
81385;Moià;42;Moianès
430859;Molar, el;29;Priorat
81234;Molins de Rei;11;Baix Llobregat
251370;Mollerussa;27;Pla d'Urgell
171061;Mollet de Peralada;2;Alt Empordà
81249;Mollet del Vallès;41;Vallès Oriental
171077;Molló;31;Ripollès
251364;Molsosa, la;35;Solsonès
81287;Monistrol de Calders;42;Moianès
81271;Monistrol de Montserrat;7;Bages
430918;Mont-ral;1;Alt Camp
171100;Mont-ras;10;Baix Empordà
430923;Mont-roig del Camp;8;Baix Camp
171096;Montagut i Oix;19;Garrotxa
430862;Montblanc;16;Conca de Barberà
430884;Montbrió del Camp;8;Baix Camp
81252;Montcada i Reixac;40;Vallès Occidental
81304;Montclar;14;Berguedà
251399;Montellà i Martinet;15;Cerdanya
81311;Montesquiu;24;Osona
251403;Montferrer i Castellbò;4;Alt Urgell
430897;Montferri;1;Alt Camp
251386;Montgai;23;Noguera
81265;Montgat;21;Maresme
81326;Montmajor;14;Berguedà
81332;Montmaneu;6;Anoia
430901;Montmell, el;12;Baix Penedès
81350;Montmeló;41;Vallès Oriental
251425;Montoliu de Lleida;33;Segrià
251410;Montoliu de Segarra;32;Segarra
251431;Montornès de Segarra;32;Segarra
81363;Montornès del Vallès;41;Vallès Oriental
81379;Montseny;41;Vallès Oriental
430939;Móra d'Ebre;30;Ribera d'Ebre
430944;Móra la Nova;30;Ribera d'Ebre
430957;Morell, el;36;Tarragonès
430960;Morera de Montsant, la;29;Priorat
81290;Muntanyola;24;Osona
81398;Mura;7;Bages
251459;Nalec;38;Urgell
250254;Naut Aran;39;Aran
81402;Navarcles;7;Bages
81419;Navàs;7;Bages
171117;Navata;2;Alt Empordà
251462;Navès;35;Solsonès
81424;Nou de Berguedà, la;14;Berguedà
430976;Nou de Gaià, la;36;Tarragonès
430982;Nulles;1;Alt Camp
251484;Odèn;35;Solsonès
81430;Òdena;6;Anoia
171122;Ogassa;31;Ripollès
81458;Olèrdola;3;Alt Penedès
81461;Olesa de Bonesvalls;3;Alt Penedès
81477;Olesa de Montserrat;11;Baix Llobregat
251497;Oliana;4;Alt Urgell
251500;Oliola;23;Noguera
251517;Olius;35;Solsonès
81483;Olivella;17;Garraf
81496;Olost;24;Osona
171143;Olot;19;Garrotxa
251522;Oluges, les;32;Segarra
81445;Olvan;14;Berguedà
251538;Omellons, els;18;Garrigues
251543;Omells de na Gaia, els;38;Urgell
171156;Ordis;2;Alt Empordà
251556;Organyà;4;Alt Urgell
81509;Orís;24;Osona
81516;Oristà;24;Osona
81521;Orpí;6;Anoia
81537;Òrrius;21;Maresme
251569;Os de Balaguer;23;Noguera
171169;Osor;34;Selva
251575;Ossó de Sió;38;Urgell
81542;Pacs del Penedès;3;Alt Penedès
81555;Palafolls;21;Maresme
171175;Palafrugell;10;Baix Empordà
171181;Palamós;10;Baix Empordà
251581;Palau d'Anglesola, el;27;Pla d'Urgell
171194;Palau de Santa Eulàlia;2;Alt Empordà
171215;Palau-sator;10;Baix Empordà
171208;Palau-saverdera;2;Alt Empordà
81568;Palau-solità i Plegamans;40;Vallès Occidental
431009;Pallaresos, els;36;Tarragonès
81574;Pallejà;11;Baix Llobregat
430995;Palma d'Ebre, la;30;Ribera d'Ebre
89058;Palma de Cervelló, la;11;Baix Llobregat
171236;Palol de Revardit;28;Pla de l'Estany
171241;Pals;10;Baix Empordà
81580;Papiol, el;11;Baix Llobregat
171254;Pardines;31;Ripollès
81593;Parets del Vallès;41;Vallès Oriental
171267;Parlavà;10;Baix Empordà
431016;Passanant i Belltall;16;Conca de Barberà
171289;Pau;2;Alt Empordà
431021;Paüls;9;Baix Ebre
171292;Pedret i Marzà;2;Alt Empordà
251641;Penelles;23;Noguera
171306;Pera, la;10;Baix Empordà
81607;Perafita;24;Osona
431037;Perafort;36;Tarragonès
171328;Peralada;2;Alt Empordà
251654;Peramola;4;Alt Urgell
431042;Perelló, el;9;Baix Ebre
81614;Piera;6;Anoia
431055;Piles, les;16;Conca de Barberà
81635;Pineda de Mar;21;Maresme
431068;Pinell de Brai, el;37;Terra Alta
251667;Pinell de Solsonès;35;Solsonès
251673;Pinós;35;Solsonès
431074;Pira;16;Conca de Barberà
431080;Pla de Santa Maria, el;1;Alt Camp
81640;Pla del Penedès, el;3;Alt Penedès
171334;Planes d'Hostoles, les;19;Garrotxa
171349;Planoles;31;Ripollès
259118;Plans de Sió, els;32;Segarra
251689;Poal, el;27;Pla d'Urgell
251692;Pobla de Cérvoles, la;18;Garrigues
81653;Pobla de Claramunt, la;6;Anoia
81666;Pobla de Lillet, la;14;Berguedà
431093;Pobla de Mafumet, la;36;Tarragonès
431107;Pobla de Massaluca, la;37;Terra Alta
431114;Pobla de Montornès, la;36;Tarragonès
251713;Pobla de Segur, la;25;Pallars Jussà
431129;Poboleda;29;Priorat
81672;Polinyà;40;Vallès Occidental
431135;Pont d'Armentera, el;1;Alt Camp
250306;Pont de Bar, el;4;Alt Urgell
171352;Pont de Molins;2;Alt Empordà
251734;Pont de Suert, el;5;Alta Ribagorça
81825;Pont de Vilomara i Rocafort, el;7;Bages
431418;Pontils;16;Conca de Barberà
81688;Pontons;3;Alt Penedès
171365;Pontós;2;Alt Empordà
251728;Ponts;23;Noguera
171371;Porqueres;28;Pla de l'Estany
431140;Porrera;29;Priorat
171404;Port de la Selva, el;2;Alt Empordà
171387;Portbou;2;Alt Empordà
251749;Portella, la;33;Segrià
431153;Pradell de la Teixeta;29;Priorat
431166;Prades;8;Baix Camp
431172;Prat de Comte;37;Terra Alta
81691;Prat de Llobregat, el;11;Baix Llobregat
431188;Pratdip;8;Baix Camp
81712;Prats de Lluçanès;24;Osona
81705;Prats de Rei, els;6;Anoia
251752;Prats i Sansor;15;Cerdanya
251765;Preixana;38;Urgell
251771;Preixens;23;Noguera
82303;Premià de Dalt;21;Maresme
81727;Premià de Mar;21;Maresme
171390;Preses, les;19;Garrotxa
251790;Prullans;15;Cerdanya
81751;Puig-reig;14;Berguedà
171411;Puigcerdà;15;Cerdanya
81748;Puigdàlber;3;Alt Penedès
251804;Puiggròs;18;Garrigues
431191;Puigpelat;1;Alt Camp
251811;Puigverd d'Agramunt;38;Urgell
251826;Puigverd de Lleida;33;Segrià
81764;Pujalt;6;Anoia
81770;Quar, la;14;Berguedà
171426;Quart;20;Gironès
170433;Queralbs;31;Ripollès
431205;Querol;1;Alt Camp
171432;Rabós;2;Alt Empordà
81786;Rajadell;7;Bages
431362;Ràpita, la;22;Montsià
431212;Rasquera;30;Ribera d'Ebre
171447;Regencós;10;Baix Empordà
81799;Rellinars;40;Vallès Occidental
431227;Renau;36;Tarragonès
431233;Reus;8;Baix Camp
251832;Rialp;26;Pallars Sobirà
431248;Riba, la;1;Alt Camp
431251;Riba-roja d'Ebre;30;Ribera d'Ebre
259059;Ribera d'Ondara;32;Segarra
251850;Ribera d'Urgellet;4;Alt Urgell
171450;Ribes de Freser;31;Ripollès
171463;Riells i Viabrea;34;Selva
431264;Riera de Gaià, la;36;Tarragonès
251863;Riner;35;Solsonès
171479;Ripoll;31;Ripollès
81803;Ripollet;40;Vallès Occidental
259139;Riu de Cerdanya;15;Cerdanya
171485;Riudarenes;34;Selva
171498;Riudaura;19;Garrotxa
431270;Riudecanyes;8;Baix Camp
431286;Riudecols;8;Baix Camp
171501;Riudellots de la Selva;34;Selva
431299;Riudoms;8;Baix Camp
171518;Riumors;2;Alt Empordà
81810;Roca del Vallès, la;41;Vallès Oriental
431303;Rocafort de Queralt;16;Conca de Barberà
431310;Roda de Berà;36;Tarragonès
81831;Roda de Ter;24;Osona
431325;Rodonyà;1;Alt Camp
431331;Roquetes;9;Baix Ebre
171523;Roses;2;Alt Empordà
251898;Rosselló;33;Segrià
431346;Rourell, el;1;Alt Camp
81846;Rubí;40;Vallès Occidental
81859;Rubió;6;Anoia
171539;Rupià;10;Baix Empordà
89019;Rupit i Pruit;24;Osona
81878;Sabadell;40;Vallès Occidental
81884;Sagàs;14;Berguedà
251902;Salàs de Pallars;25;Pallars Jussà
81901;Saldes;14;Berguedà
171544;Sales de Llierca;19;Garrotxa
81918;Sallent;7;Bages
431359;Salomó;36;Tarragonès
439057;Salou;36;Tarragonès
171557;Salt;20;Gironès
251919;Sanaüja;32;Segarra
81944;Sant Adrià de Besòs;13;Barcelonès
81957;Sant Agustí de Lluçanès;24;Osona
81960;Sant Andreu de la Barca;11;Baix Llobregat
81976;Sant Andreu de Llavaneres;21;Maresme
171576;Sant Andreu Salou;20;Gironès
171833;Sant Aniol de Finestres;19;Garrotxa
81982;Sant Antoni de Vilamajor;41;Vallès Oriental
81995;Sant Bartomeu del Grau;24;Osona
82009;Sant Boi de Llobregat;11;Baix Llobregat
82016;Sant Boi de Lluçanès;24;Osona
82037;Sant Cebrià de Vallalta;21;Maresme
82021;Sant Celoni;41;Vallès Oriental
82042;Sant Climent de Llobregat;11;Baix Llobregat
171582;Sant Climent Sescebes;2;Alt Empordà
82055;Sant Cugat del Vallès;40;Vallès Occidental
82068;Sant Cugat Sesgarrigues;3;Alt Penedès
251961;Sant Esteve de la Sarga;25;Pallars Jussà
82074;Sant Esteve de Palautordera;41;Vallès Oriental
82080;Sant Esteve Sesrovires;11;Baix Llobregat
171595;Sant Feliu de Buixalleu;34;Selva
82107;Sant Feliu de Codines;41;Vallès Oriental
171609;Sant Feliu de Guíxols;10;Baix Empordà
82114;Sant Feliu de Llobregat;11;Baix Llobregat
171616;Sant Feliu de Pallerols;19;Garrotxa
82129;Sant Feliu Sasserra;7;Bages
171621;Sant Ferriol;19;Garrotxa
82093;Sant Fost de Campsentelles;41;Vallès Oriental
82135;Sant Fruitós de Bages;7;Bages
171637;Sant Gregori;20;Gironès
251924;Sant Guim de Freixenet;32;Segarra
251977;Sant Guim de la Plana;32;Segarra
171642;Sant Hilari Sacalm;34;Selva
82153;Sant Hipòlit de Voltregà;24;Osona
81939;Sant Iscle de Vallalta;21;Maresme
439023;Sant Jaume d'Enveja;22;Montsià
82166;Sant Jaume de Frontanyà;14;Berguedà
171655;Sant Jaume de Llierca;19;Garrotxa
431378;Sant Jaume dels Domenys;12;Baix Penedès
171674;Sant Joan de les Abadesses;31;Ripollès
171680;Sant Joan de Mollet;20;Gironès
82188;Sant Joan de Vilatorrada;7;Bages
82172;Sant Joan Despí;11;Baix Llobregat
171851;Sant Joan les Fonts;19;Garrotxa
171668;Sant Jordi Desvalls;20;Gironès
89030;Sant Julià de Cerdanyola;14;Berguedà
171693;Sant Julià de Ramis;20;Gironès
82205;Sant Julià de Vilatorta;24;Osona
179032;Sant Julià del Llor i Bonmatí;34;Selva
82212;Sant Just Desvern;11;Baix Llobregat
82227;Sant Llorenç d'Hortons;3;Alt Penedès
171714;Sant Llorenç de la Muga;2;Alt Empordà
251930;Sant Llorenç de Morunys;35;Solsonès
82233;Sant Llorenç Savall;40;Vallès Occidental
82251;Sant Martí d'Albars;24;Osona
82248;Sant Martí de Centelles;24;Osona
171729;Sant Martí de Llémena;20;Gironès
259025;Sant Martí de Riucorb;38;Urgell
82264;Sant Martí de Tous;6;Anoia
82270;Sant Martí Sarroca;3;Alt Penedès
82286;Sant Martí Sesgueioles;6;Anoia
171735;Sant Martí Vell;20;Gironès
82299;Sant Mateu de Bages;7;Bages
171740;Sant Miquel de Campmajor;28;Pla de l'Estany
