any,municipi,concepte,estat,valor
2022,"Albagés, l'",població jove sense estudis postobligatoris (%),.., 
2022,"Albagés, l'",estrangers de països de renda baixa o mitjana (%),,2.3
2022,"Albagés, l'",renda mitjana per persona (€),,11341
2022,Albanyà,població ocupada (%),,51.8
2022,Albanyà,treballadors de baixa qualificació (%),.., 
2022,Albanyà,població amb estudis baixos (%),,8.3
2022,Albanyà,població jove sense estudis postobligatoris (%),.., 
2022,Albanyà,estrangers de països de renda baixa o mitjana (%),,7.3
2022,Albanyà,renda mitjana per persona (€),,10183
2022,Albatàrrec,població ocupada (%),,68.2
2022,Albatàrrec,treballadors de baixa qualificació (%),,18.3
2022,Albatàrrec,població amb estudis baixos (%),,13.4
2022,Albatàrrec,població jove sense estudis postobligatoris (%),,31.7
2022,Albatàrrec,estrangers de països de renda baixa o mitjana (%),,18.7
2022,Albatàrrec,renda mitjana per persona (€),,13300
2022,Albesa,població ocupada (%),,72.2
2022,Albesa,treballadors de baixa qualificació (%),,20.5
2022,Albesa,població amb estudis baixos (%),,21.5
2022,Albesa,població jove sense estudis postobligatoris (%),,35.1
2022,Albesa,estrangers de països de renda baixa o mitjana (%),,17.7
2022,Albesa,renda mitjana per persona (€),,13184
2022,"Albi, l'",població ocupada (%),,71.1
2022,"Albi, l'",treballadors de baixa qualificació (%),.., 
2022,"Albi, l'",població amb estudis baixos (%),,14.6
2022,"Albi, l'",població jove sense estudis postobligatoris (%),,18.2
2022,"Albi, l'",estrangers de països de renda baixa o mitjana (%),,6.9
2022,"Albi, l'",renda mitjana per persona (€),,12654
2022,Albinyana,població ocupada (%),,61.8
2022,Albinyana,treballadors de baixa qualificació (%),,15.1
2022,Albinyana,població amb estudis baixos (%),,12.2
2022,Albinyana,població jove sense estudis postobligatoris (%),,32.9
2022,Albinyana,estrangers de països de renda baixa o mitjana (%),,4.7
2022,Albinyana,renda mitjana per persona (€),,12484
2022,"Albiol, l'",població ocupada (%),,71.6
2022,"Albiol, l'",treballadors de baixa qualificació (%),.., 
2022,"Albiol, l'",població amb estudis baixos (%),,5.9
2022,"Albiol, l'",població jove sense estudis postobligatoris (%),,11.6
2022,"Albiol, l'",estrangers de països de renda baixa o mitjana (%),,3.9
2022,"Albiol, l'",renda mitjana per persona (€),,14858
2022,Albons,població ocupada (%),,69.3
2022,Albons,treballadors de baixa qualificació (%),.., 
2022,Albons,població amb estudis baixos (%),,11.3
2022,Albons,població jove sense estudis postobligatoris (%),,27.7
2022,Albons,estrangers de països de renda baixa o mitjana (%),,7.9
2022,Albons,renda mitjana per persona (€),,15553
2022,Alcanar,població ocupada (%),,55.5
2022,Alcanar,treballadors de baixa qualificació (%),,20.6
2022,Alcanar,població amb estudis baixos (%),,17.9
2022,Alcanar,població jove sense estudis postobligatoris (%),,25.6
2022,Alcanar,estrangers de països de renda baixa o mitjana (%),,17.2
2022,Alcanar,renda mitjana per persona (€),,11618
2022,Alcanó,població ocupada (%),,76.7
2022,Alcanó,treballadors de baixa qualificació (%),.., 
2022,Alcanó,població amb estudis baixos (%),,11.1
2022,Alcanó,població jove sense estudis postobligatoris (%),.., 
2022,Alcanó,estrangers de països de renda baixa o mitjana (%),,0.8
2022,Alcanó,renda mitjana per persona (€),,12288
2022,Alcarràs,població ocupada (%),,69.2
2022,Alcarràs,treballadors de baixa qualificació (%),,22.4
2022,Alcarràs,població amb estudis baixos (%),,19.5
2022,Alcarràs,població jove sense estudis postobligatoris (%),,43
2022,Alcarràs,estrangers de països de renda baixa o mitjana (%),,31.5
2022,Alcarràs,renda mitjana per persona (€),,12401
2022,Alcoletge,població ocupada (%),,68
2022,Alcoletge,treballadors de baixa qualificació (%),,12.3
2022,Alcoletge,població amb estudis baixos (%),,10.9
2022,Alcoletge,població jove sense estudis postobligatoris (%),,32.8
2022,Alcoletge,estrangers de països de renda baixa o mitjana (%),,13
2022,Alcoletge,renda mitjana per persona (€),,13564
2022,Alcover,població ocupada (%),,69.2
2022,Alcover,treballadors de baixa qualificació (%),,11
2022,Alcover,població amb estudis baixos (%),,13.9
2022,Alcover,població jove sense estudis postobligatoris (%),,24.2
2022,Alcover,estrangers de països de renda baixa o mitjana (%),,10.7
2022,Alcover,renda mitjana per persona (€),,13811
2022,"Aldea, l'",població ocupada (%),,63
2022,"Aldea, l'",treballadors de baixa qualificació (%),,20.2
2022,"Aldea, l'",població amb estudis baixos (%),,23.3
2022,"Aldea, l'",població jove sense estudis postobligatoris (%),,45.7
2022,"Aldea, l'",estrangers de països de renda baixa o mitjana (%),,21.4
2022,"Aldea, l'",renda mitjana per persona (€),,11189
2022,Aldover,població ocupada (%),,68
2022,Aldover,treballadors de baixa qualificació (%),.., 
2022,Aldover,població amb estudis baixos (%),,25.2
2022,Aldover,població jove sense estudis postobligatoris (%),,27.1
2022,Aldover,estrangers de països de renda baixa o mitjana (%),,5.6
2022,Aldover,renda mitjana per persona (€),,12705
2022,"Aleixar, l'",població ocupada (%),,66.9
2022,"Aleixar, l'",treballadors de baixa qualificació (%),.., 
2022,"Aleixar, l'",població amb estudis baixos (%),,13.7
2022,"Aleixar, l'",població jove sense estudis postobligatoris (%),,26.1
2022,"Aleixar, l'",estrangers de països de renda baixa o mitjana (%),,10
2022,"Aleixar, l'",renda mitjana per persona (€),,13848
2022,Alella,població ocupada (%),,69.7
2022,Alella,treballadors de baixa qualificació (%),,4.7
2022,Alella,població amb estudis baixos (%),,8.8
2022,Alella,població jove sense estudis postobligatoris (%),,6
2022,Alella,estrangers de països de renda baixa o mitjana (%),,5.9
2022,Alella,renda mitjana per persona (€),,22937
2022,Alfara de Carles,població ocupada (%),,66.9
2022,Alfara de Carles,treballadors de baixa qualificació (%),.., 
2022,Alfara de Carles,població amb estudis baixos (%),,12.8
2022,Alfara de Carles,població jove sense estudis postobligatoris (%),.., 
2022,Alfara de Carles,estrangers de països de renda baixa o mitjana (%),,5
2022,Alfara de Carles,renda mitjana per persona (€),,11989
2022,Alfarràs,població ocupada (%),,55.3
2022,Alfarràs,treballadors de baixa qualificació (%),,14.6
2022,Alfarràs,població amb estudis baixos (%),,21.5
2022,Alfarràs,població jove sense estudis postobligatoris (%),,39.7
2022,Alfarràs,estrangers de països de renda baixa o mitjana (%),,13.2
2022,Alfarràs,renda mitjana per persona (€),,12411
2022,Alfés,població ocupada (%),,73.5
2022,Alfés,treballadors de baixa qualificació (%),.., 
2022,Alfés,població amb estudis baixos (%),,16.3
2022,Alfés,població jove sense estudis postobligatoris (%),.., 
2022,Alfés,estrangers de països de renda baixa o mitjana (%),,6.3
2022,Alfés,renda mitjana per persona (€),,14559
2022,Alforja,població ocupada (%),,68.5
2022,Alforja,treballadors de baixa qualificació (%),,10.7
2022,Alforja,població amb estudis baixos (%),,12.6
2022,Alforja,població jove sense estudis postobligatoris (%),,22
2022,Alforja,estrangers de països de renda baixa o mitjana (%),,5.6
2022,Alforja,renda mitjana per persona (€),,13604
2022,Algerri,població ocupada (%),,68.1
2022,Algerri,treballadors de baixa qualificació (%),.., 
2022,Algerri,població amb estudis baixos (%),,5.1
2022,Algerri,població jove sense estudis postobligatoris (%),.., 
2022,Algerri,estrangers de països de renda baixa o mitjana (%),,10
2022,Algerri,renda mitjana per persona (€),,13988
2022,Alguaire,població ocupada (%),,67.6
2022,Alguaire,treballadors de baixa qualificació (%),,17.9
2022,Alguaire,població amb estudis baixos (%),,19.1
2022,Alguaire,població jove sense estudis postobligatoris (%),,37.9
2022,Alguaire,estrangers de països de renda baixa o mitjana (%),,17.6
2022,Alguaire,renda mitjana per persona (€),,13537
2022,Alins,població ocupada (%),,67.9
2022,Alins,treballadors de baixa qualificació (%),.., 
2022,Alins,població amb estudis baixos (%),,16.3
2022,Alins,població jove sense estudis postobligatoris (%),.., 
2022,Alins,estrangers de països de renda baixa o mitjana (%),,5.6
2022,Alins,renda mitjana per persona (€),,15180
2022,Alió,població ocupada (%),,71.4
2022,Alió,treballadors de baixa qualificació (%),.., 
2022,Alió,població amb estudis baixos (%),,7.1
2022,Alió,població jove sense estudis postobligatoris (%),.., 
2022,Alió,estrangers de països de renda baixa o mitjana (%),,5.8
2022,Alió,renda mitjana per persona (€),,12668
2022,Almacelles,població ocupada (%),,58
2022,Almacelles,treballadors de baixa qualificació (%),,23.5
2022,Almacelles,població amb estudis baixos (%),,21.5
2022,Almacelles,població jove sense estudis postobligatoris (%),,38.3
2022,Almacelles,estrangers de països de renda baixa o mitjana (%),,20.2
2022,Almacelles,renda mitjana per persona (€),,12999
2022,Almatret,població ocupada (%),,62.6
2022,Almatret,treballadors de baixa qualificació (%),.., 
2022,Almatret,població amb estudis baixos (%),,23.3
2022,Almatret,població jove sense estudis postobligatoris (%),.., 
2022,Almatret,estrangers de països de renda baixa o mitjana (%),,6
2022,Almatret,renda mitjana per persona (€),,15103
2022,Almenar,població ocupada (%),,65.8
2022,Almenar,treballadors de baixa qualificació (%),,17.7
2022,Almenar,població amb estudis baixos (%),,20.8
2022,Almenar,població jove sense estudis postobligatoris (%),,37.6
2022,Almenar,estrangers de països de renda baixa o mitjana (%),,11.4
2022,Almenar,renda mitjana per persona (€),,13491
2022,Almoster,població ocupada (%),,73.6
2022,Almoster,treballadors de baixa qualificació (%),,5.5
2022,Almoster,població amb estudis baixos (%),,6.1
2022,Almoster,població jove sense estudis postobligatoris (%),,6.2
2022,Almoster,estrangers de països de renda baixa o mitjana (%),,1.7
2022,Almoster,renda mitjana per persona (€),,20157
2022,Alòs de Balaguer,població ocupada (%),,73
2022,Alòs de Balaguer,treballadors de baixa qualificació (%),.., 
2022,Alòs de Balaguer,població amb estudis baixos (%),,14.4
2022,Alòs de Balaguer,població jove sense estudis postobligatoris (%),.., 
2022,Alòs de Balaguer,estrangers de països de renda baixa o mitjana (%),,10.6
2022,Alòs de Balaguer,renda mitjana per persona (€),,16251
2022,Alp,població ocupada (%),,70.4
2022,Alp,treballadors de baixa qualificació (%),,9.9
2022,Alp,població amb estudis baixos (%),,7
2022,Alp,població jove sense estudis postobligatoris (%),,14.3
2022,Alp,estrangers de països de renda baixa o mitjana (%),,7.8
2022,Alp,renda mitjana per persona (€),,19166
2022,Alpens,població ocupada (%),,68.2
2022,Alpens,treballadors de baixa qualificació (%),.., 
2022,Alpens,població amb estudis baixos (%),,8.1
2022,Alpens,població jove sense estudis postobligatoris (%),.., 
2022,Alpens,estrangers de països de renda baixa o mitjana (%),,5.7
2022,Alpens,renda mitjana per persona (€),,18466
2022,Alpicat,població ocupada (%),,73.4
2022,Alpicat,treballadors de baixa qualificació (%),,8
2022,Alpicat,població amb estudis baixos (%),,8.3
2022,Alpicat,població jove sense estudis postobligatoris (%),,15.3
2022,Alpicat,estrangers de països de renda baixa o mitjana (%),,6.1
2022,Alpicat,renda mitjana per persona (€),,17943
2022,Alt Àneu,població ocupada (%),,73.7
2022,Alt Àneu,treballadors de baixa qualificació (%),.., 
2022,Alt Àneu,població amb estudis baixos (%),,8.1
2022,Alt Àneu,població jove sense estudis postobligatoris (%),.., 
2022,Alt Àneu,estrangers de països de renda baixa o mitjana (%),,1.8
2022,Alt Àneu,renda mitjana per persona (€),,18264
2022,Altafulla,població ocupada (%),,65.9
2022,Altafulla,treballadors de baixa qualificació (%),,6.2
2022,Altafulla,població amb estudis baixos (%),,9.3
2022,Altafulla,població jove sense estudis postobligatoris (%),,17.3
2022,Altafulla,estrangers de països de renda baixa o mitjana (%),,6.7
2022,Altafulla,renda mitjana per persona (€),,17972
2022,Amer,població ocupada (%),,70.1
2022,Amer,treballadors de baixa qualificació (%),,12.9
2022,Amer,població amb estudis baixos (%),,17.2
2022,Amer,població jove sense estudis postobligatoris (%),,26.5
2022,Amer,estrangers de països de renda baixa o mitjana (%),,10.7
2022,Amer,renda mitjana per persona (€),,15357
2022,"Ametlla de Mar, l'",població ocupada (%),,58.3
2022,"Ametlla de Mar, l'",treballadors de baixa qualificació (%),,15.5
2022,"Ametlla de Mar, l'",població amb estudis baixos (%),,22.9
2022,"Ametlla de Mar, l'",població jove sense estudis postobligatoris (%),,27.8
2022,"Ametlla de Mar, l'",estrangers de països de renda baixa o mitjana (%),,12.6
2022,"Ametlla de Mar, l'",renda mitjana per persona (€),,12900
2022,"Ametlla del Vallès, l'",població ocupada (%),,72
2022,"Ametlla del Vallès, l'",treballadors de baixa qualificació (%),,6.5
2022,"Ametlla del Vallès, l'",població amb estudis baixos (%),,6.4
2022,"Ametlla del Vallès, l'",població jove sense estudis postobligatoris (%),,8.5
2022,"Ametlla del Vallès, l'",estrangers de països de renda baixa o mitjana (%),,2.9
2022,"Ametlla del Vallès, l'",renda mitjana per persona (€),,20747
2022,"Ampolla, l'",població ocupada (%),,59.9
2022,"Ampolla, l'",treballadors de baixa qualificació (%),,11.6
2022,"Ampolla, l'",població amb estudis baixos (%),,21
2022,"Ampolla, l'",població jove sense estudis postobligatoris (%),,28.2
2022,"Ampolla, l'",estrangers de països de renda baixa o mitjana (%),,13.7
2022,"Ampolla, l'",renda mitjana per persona (€),,13994
2022,Amposta,població ocupada (%),,62.7
2022,Amposta,treballadors de baixa qualificació (%),,15.1
2022,Amposta,població amb estudis baixos (%),,16.7
2022,Amposta,població jove sense estudis postobligatoris (%),,32
2022,Amposta,estrangers de països de renda baixa o mitjana (%),,16.8
2022,Amposta,renda mitjana per persona (€),,11804
2022,Anglès,població ocupada (%),,67.1
2022,Anglès,treballadors de baixa qualificació (%),,17.5
2022,Anglès,població amb estudis baixos (%),,22.1
2022,Anglès,població jove sense estudis postobligatoris (%),,36.1
2022,Anglès,estrangers de països de renda baixa o mitjana (%),,20
2022,Anglès,renda mitjana per persona (€),,13343
2022,Anglesola,població ocupada (%),,70.7
2022,Anglesola,treballadors de baixa qualificació (%),,14.9
2022,Anglesola,població amb estudis baixos (%),,19.5
2022,Anglesola,població jove sense estudis postobligatoris (%),,39.8
2022,Anglesola,estrangers de països de renda baixa o mitjana (%),,12.2
2022,Anglesola,renda mitjana per persona (€),,13327
2022,Arbeca,població ocupada (%),,70.5
2022,Arbeca,treballadors de baixa qualificació (%),,18.1
2022,Arbeca,població amb estudis baixos (%),,21.3
2022,Arbeca,població jove sense estudis postobligatoris (%),,23.5
2022,Arbeca,estrangers de països de renda baixa o mitjana (%),,14.9
2022,Arbeca,renda mitjana per persona (€),,13141
2022,"Arboç, l'",població ocupada (%),,63.5
2022,"Arboç, l'",treballadors de baixa qualificació (%),,18.5
2022,"Arboç, l'",població amb estudis baixos (%),,19.2
2022,"Arboç, l'",població jove sense estudis postobligatoris (%),,36.8
2022,"Arboç, l'",estrangers de països de renda baixa o mitjana (%),,22.9
2022,"Arboç, l'",renda mitjana per persona (€),,12493
2022,Arbolí,població ocupada (%),,66.1
2022,Arbolí,treballadors de baixa qualificació (%),.., 
2022,Arbolí,població amb estudis baixos (%),,7
2022,Arbolí,població jove sense estudis postobligatoris (%),.., 
2022,Arbolí,estrangers de països de renda baixa o mitjana (%),,0.8
2022,Arbolí,renda mitjana per persona (€),,15530
2022,Arbúcies,població ocupada (%),,66.6
2022,Arbúcies,treballadors de baixa qualificació (%),,16.8
2022,Arbúcies,població amb estudis baixos (%),,22.1
2022,Arbúcies,població jove sense estudis postobligatoris (%),,36.1
2022,Arbúcies,estrangers de països de renda baixa o mitjana (%),,21.8
2022,Arbúcies,renda mitjana per persona (€),,13433
2022,Arenys de Mar,població ocupada (%),,65.7
2022,Arenys de Mar,treballadors de baixa qualificació (%),,8.9
2022,Arenys de Mar,població amb estudis baixos (%),,12.2
2022,Arenys de Mar,població jove sense estudis postobligatoris (%),,16
2022,Arenys de Mar,estrangers de països de renda baixa o mitjana (%),,7.7
2022,Arenys de Mar,renda mitjana per persona (€),,15827
2022,Arenys de Munt,població ocupada (%),,70.4
2022,Arenys de Munt,treballadors de baixa qualificació (%),,9.9
2022,Arenys de Munt,població amb estudis baixos (%),,12.6
2022,Arenys de Munt,població jove sense estudis postobligatoris (%),,21.5
2022,Arenys de Munt,estrangers de països de renda baixa o mitjana (%),,5.4
2022,Arenys de Munt,renda mitjana per persona (€),,15435
2022,Argelaguer,població ocupada (%),,70.4
2022,Argelaguer,treballadors de baixa qualificació (%),.., 
2022,Argelaguer,població amb estudis baixos (%),,9.9
2022,Argelaguer,població jove sense estudis postobligatoris (%),.., 
2022,Argelaguer,estrangers de països de renda baixa o mitjana (%),,2.5
2022,Argelaguer,renda mitjana per persona (€),,15808
2022,Argençola,població ocupada (%),,70.3
2022,Argençola,treballadors de baixa qualificació (%),.., 
2022,Argençola,població amb estudis baixos (%),,4.4
2022,Argençola,població jove sense estudis postobligatoris (%),.., 
2022,Argençola,estrangers de països de renda baixa o mitjana (%),,2.7
2022,Argençola,renda mitjana per persona (€),,15283
2022,"Argentera, l'",població ocupada (%),,62.1
2022,"Argentera, l'",treballadors de baixa qualificació (%),.., 
2022,"Argentera, l'",població amb estudis baixos (%),,11.2
2022,"Argentera, l'",població jove sense estudis postobligatoris (%),.., 
2022,"Argentera, l'",estrangers de països de renda baixa o mitjana (%),,0
2022,"Argentera, l'",renda mitjana per persona (€),,21796
2022,Argentona,població ocupada (%),,71
2022,Argentona,treballadors de baixa qualificació (%),,8.3
2022,Argentona,població amb estudis baixos (%),,10.7
2022,Argentona,població jove sense estudis postobligatoris (%),,15.8
2022,Argentona,estrangers de països de renda baixa o mitjana (%),,3.6
2022,Argentona,renda mitjana per persona (€),,16716
2022,"Armentera, l'",població ocupada (%),,69.5
2022,"Armentera, l'",treballadors de baixa qualificació (%),,20.9
2022,"Armentera, l'",població amb estudis baixos (%),,16.9
2022,"Armentera, l'",població jove sense estudis postobligatoris (%),,30.1
2022,"Armentera, l'",estrangers de països de renda baixa o mitjana (%),,12.5
2022,"Armentera, l'",renda mitjana per persona (€),,15935
2022,Arnes,població ocupada (%),,61.2
2022,Arnes,treballadors de baixa qualificació (%),.., 
2022,Arnes,població amb estudis baixos (%),,23.5
2022,Arnes,població jove sense estudis postobligatoris (%),.., 
2022,Arnes,estrangers de països de renda baixa o mitjana (%),,6.9
2022,Arnes,renda mitjana per persona (€),,12609
2022,Arres,població ocupada (%),,58.4
2022,Arres,treballadors de baixa qualificació (%),.., 
2022,Arres,població amb estudis baixos (%),,5.5
2022,Arres,població jove sense estudis postobligatoris (%),.., 
2022,Arres,estrangers de països de renda baixa o mitjana (%),,0
2022,Arres,renda mitjana per persona (€),,20369
2022,Arsèguel,població ocupada (%),,72.3
2022,Arsèguel,treballadors de baixa qualificació (%),.., 
2022,Arsèguel,població amb estudis baixos (%),,12.3
2022,Arsèguel,població jove sense estudis postobligatoris (%),.., 
2022,Arsèguel,estrangers de països de renda baixa o mitjana (%),,3.7
2022,Arsèguel,renda mitjana per persona (€),,18046
2022,Artés,població ocupada (%),,71.2
2022,Artés,treballadors de baixa qualificació (%),,16.8
2022,Artés,població amb estudis baixos (%),,15.6
2022,Artés,població jove sense estudis postobligatoris (%),,27.2
2022,Artés,estrangers de països de renda baixa o mitjana (%),,10.1
2022,Artés,renda mitjana per persona (€),,15010
2022,Artesa de Lleida,població ocupada (%),,68.8
2022,Artesa de Lleida,treballadors de baixa qualificació (%),,17.3
2022,Artesa de Lleida,població amb estudis baixos (%),,16.3
2022,Artesa de Lleida,població jove sense estudis postobligatoris (%),,23.1
2022,Artesa de Lleida,estrangers de països de renda baixa o mitjana (%),,12.2
2022,Artesa de Lleida,renda mitjana per persona (€),,13864
2022,Artesa de Segre,població ocupada (%),,70.9
2022,Artesa de Segre,treballadors de baixa qualificació (%),,23.4
2022,Artesa de Segre,població amb estudis baixos (%),,20.2
2022,Artesa de Segre,població jove sense estudis postobligatoris (%),,38.3
2022,Artesa de Segre,estrangers de països de renda baixa o mitjana (%),,21.9
2022,Artesa de Segre,renda mitjana per persona (€),,13158
2022,Ascó,població ocupada (%),,67
2022,Ascó,treballadors de baixa qualificació (%),,14
2022,Ascó,població amb estudis baixos (%),,20.4
2022,Ascó,població jove sense estudis postobligatoris (%),,25.7
2022,Ascó,estrangers de països de renda baixa o mitjana (%),,8
2022,Ascó,renda mitjana per persona (€),,16458
2022,Aspa,població ocupada (%),,69.3
2022,Aspa,treballadors de baixa qualificació (%),.., 
2022,Aspa,població amb estudis baixos (%),,25.5
2022,Aspa,població jove sense estudis postobligatoris (%),.., 
2022,Aspa,estrangers de països de renda baixa o mitjana (%),,11.3
2022,Aspa,renda mitjana per persona (€),,11315
2022,"Avellanes i Santa Linya, les",població ocupada (%),,71.4
2022,"Avellanes i Santa Linya, les",treballadors de baixa qualificació (%),.., 
2022,"Avellanes i Santa Linya, les",població amb estudis baixos (%),,16.2
2022,"Avellanes i Santa Linya, les",població jove sense estudis postobligatoris (%),.., 
2022,"Avellanes i Santa Linya, les",estrangers de països de renda baixa o mitjana (%),,5.4
2022,"Avellanes i Santa Linya, les",renda mitjana per persona (€),,14231
2022,Avià,població ocupada (%),,74.3
2022,Avià,treballadors de baixa qualificació (%),,9.4
2022,Avià,població amb estudis baixos (%),,15.5
2022,Avià,població jove sense estudis postobligatoris (%),,12
2022,Avià,estrangers de països de renda baixa o mitjana (%),,4.4
2022,Avià,renda mitjana per persona (€),,15853
2022,Avinyó,població ocupada (%),,73.1
2022,Avinyó,treballadors de baixa qualificació (%),,18.1
2022,Avinyó,població amb estudis baixos (%),,13.4
2022,Avinyó,població jove sense estudis postobligatoris (%),,24.6
2022,Avinyó,estrangers de països de renda baixa o mitjana (%),,9.1
2022,Avinyó,renda mitjana per persona (€),,15010
2022,Avinyonet de Puigventós,població ocupada (%),,75.1
2022,Avinyonet de Puigventós,treballadors de baixa qualificació (%),,11.4
2022,Avinyonet de Puigventós,població amb estudis baixos (%),,9.4
2022,Avinyonet de Puigventós,població jove sense estudis postobligatoris (%),,21.5
2022,Avinyonet de Puigventós,estrangers de països de renda baixa o mitjana (%),,2.5
2022,Avinyonet de Puigventós,renda mitjana per persona (€),,14989
2022,Avinyonet del Penedès,població ocupada (%),,71.3
2022,Avinyonet del Penedès,treballadors de baixa qualificació (%),,14
2022,Avinyonet del Penedès,població amb estudis baixos (%),,13
2022,Avinyonet del Penedès,població jove sense estudis postobligatoris (%),,17.8
2022,Avinyonet del Penedès,estrangers de països de renda baixa o mitjana (%),,6
2022,Avinyonet del Penedès,renda mitjana per persona (€),,15665
2022,Badalona,població ocupada (%),,65.7
2022,Badalona,treballadors de baixa qualificació (%),,13
2022,Badalona,població amb estudis baixos (%),,17.4
2022,Badalona,població jove sense estudis postobligatoris (%),,26
2022,Badalona,estrangers de països de renda baixa o mitjana (%),,13.9
2022,Badalona,renda mitjana per persona (€),,13744
2022,Badia del Vallès,població ocupada (%),,60.9
2022,Badia del Vallès,treballadors de baixa qualificació (%),,18.5
2022,Badia del Vallès,població amb estudis baixos (%),,17.8
2022,Badia del Vallès,població jove sense estudis postobligatoris (%),,41.9
2022,Badia del Vallès,estrangers de països de renda baixa o mitjana (%),,5.1
2022,Badia del Vallès,renda mitjana per persona (€),,12065
2022,Bagà,població ocupada (%),,68.2
2022,Bagà,treballadors de baixa qualificació (%),,11.7
2022,Bagà,població amb estudis baixos (%),,14.7
2022,Bagà,població jove sense estudis postobligatoris (%),,12.6
2022,Bagà,estrangers de països de renda baixa o mitjana (%),,3.6
2022,Bagà,renda mitjana per persona (€),,16566
2022,Baix Pallars,població ocupada (%),,65.7
2022,Baix Pallars,treballadors de baixa qualificació (%),.., 
