IDEQUIPAMENT,ALIES,NOM,CATEGORIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,CODI_MUNICIPI,COMARCA,UTMX,UTMY,LONGITUD,LATITUD,DATA_MODIFICACIO,PROPIETATS,Georeferència
3620131,Consultori local Gombrèn,Consultori local Gombrèn,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR CARBASSER, 3",cr.,3,17531,GOMBRÈN,170806,RIPOLLES,"424,974.01","4,677,677.23",2.090550158,42.247683871,11/11/2025 01:10:31 PM,Horari|dl. de 13 a 14h amb cita prèvia. Fora d'aquest horari truqueu al 061 Salut Respon o adreceu-vos al CAP Campdevànol de 8 a 20h. i la resta de l'horari a l'Hospital de Campdevànol.,POINT (2.090550158 42.247683871)
3620359,PADES Hospital Sant Andreu,PADES Hospital Sant Andreu,Salut|Centres sanitaris|4. Centres sociosanitaris|,"CR REMEI DE DALT, 1-3",cr.,1-3,8240,MANRESA,81136,BAGES,"402,664.36","4,619,969.32",1.829723113,41.725573233,11/11/2025 01:10:31 PM,,POINT (1.829723113 41.725573233)
3619807,Residència Vila-seca,Residència Vila-seca,Salut|Centres sanitaris|4. Centres sociosanitaris|,"CR RÈQUET DE FÈLIX, 35",cr.,35,43480,VILA-SECA,431711,TARRAGONES,"344,593.37","4,552,721.41",1.14909228,41.110922385,11/11/2025 01:10:31 PM,,POINT (1.14909228 41.110922385)
3619989,Consultori local Tarrés,Consultori local Tarrés,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"AV MONTSERRAT, 33",av.,33,25480,TARRÉS,252189,GARRIGUES,"334,554.39","4,587,592.80",1.020128883,41.422868223,11/11/2025 01:10:31 PM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 14 20 33).  Atenció continuada 24 h al CAP Les Borges Blanques.,POINT (1.020128883 41.422868223)
33601552,ASSIR CAP Sant Pere i Sant Pau,ASSIR CAP Sant Pere i Sant Pau,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR A (EDIFICI DEL CAP), S/N",cr.,S/N,43007,TARRAGONA,431482,TARRAGONES,"353,631.51","4,555,673.49",1.255984415,41.1391814,11/11/2025 01:10:31 PM,Horari|de 8 a 20h,POINT (1.255984415 41.1391814)
3621215,Consulta Perifèrica CSMIJ Ciutat Meridiana,Consulta Perifèrica CSMIJ Ciutat Meridiana,Salut|Centres sanitaris|5. Centres de salut mental|,"CR SANT FELIU DE CODINES, 2",cr.,2,8033,BARCELONA,80193,BARCELONES,"431,568.51","4,590,195.56",2.180597726,41.460433205,11/11/2025 01:10:31 PM,,POINT (2.1805977260000002 41.460433205)
3621731,CAP Florida Sud. L'Hospitalet de Ll.,CAP Florida Sud. L'Hospitalet de Ll.,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|,"AV DE CATALUNYA, 92-98",av.,92-98,8905,L'HOSPITALET DE LLOBREGAT,81017,BARCELONES,"425,938.58","4,580,061.33",2.114432707,41.368659196,11/11/2025 01:10:32 PM,Horari|De dilluns a divendres de 8 a 20 h. Caps de setmana i festius de 8 a 20 h adreceu-vos al PAC Florida. Fora d'aquest horari al CUAP Pura Fernández (obert 24 h) o bé truqueu al 061 Salut Respon.,POINT (2.114432707 41.368659196)
3622478,PADES II A. H. St. Jaume i Sta. Magdalena,PADES II A. H. St. Jaume i Sta. Magdalena,Salut|Centres sanitaris|4. Centres sociosanitaris|,"CR HOSPITAL, 31",cr.,31,8302,MATARÓ,81213,MARESME,"454,034.31","4,598,813.70",2.448931856,41.539658718,11/11/2025 01:10:31 PM,"Horari|de dilluns a diumenge, de 8 a 20 hores",POINT (2.448931856 41.539658718)
3619790,Consultori local Alforja,Consultori local Alforja,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR DE LA FONT, 56-58",cr.,56-58,43365,ALFORJA,430094,BAIX CAMP,"330,258.52","4,564,203.53",0.975280198,41.211419997,11/11/2025 01:10:31 PM,Horari|Medicina familiar i comunitària: Dll a dv: de 8 a 15 h. Estiu: del 29/07 al 16/08 tancat.  Infermeria: Dll a dv: de 8 a 15 h. Estiu: del 29/07 al 28/08 tancat.,POINT (0.9752801980000001 41.211419997)
3620457,CSMIJ Baix Empordà,CSMIJ Baix Empordà,Salut|Centres sanitaris|5. Centres de salut mental|,"CR COMPLEX EUROCÈNTER, 55-61",cr.,55-61,17250,"CASTELL D'ARO,PLATJA D'ARO I S'AGARÓ",170486,BAIX EMPORDA,0,0,3.0613771,41.8168761,11/11/2025 01:10:33 PM,"Horari|dilluns, dimarts, dimecres i divendres  8-15 / dijous 8-19. Estiu 2019: JULIOL + AGOST:  dilluns, dimarts, dimecres, dijous i divendres  8-15",POINT (3.0613771 41.8168761)
3620526,Atenció continuada CAP La Vall d'en Bas,Atenció continuada CAP La Vall d'en Bas,Salut|Centres sanitaris|2. Centres amb atenció continuada|,"CR DOCTOR TURRÓ, 2",cr.,2,17178,LA VALL D'EN BAS,172076,GARROTXA,"454,852.11","4,662,823.47",2.453857643,42.116211308,11/11/2025 01:10:31 PM,Horari|dl. a dv. de 8 a 20 h i ds. de 9 a 14 h. Fora d'aquest horari truqueu al 061 Salut Respon o adreceu-vos a lhospital d'Olot i comarcal de la Garrotxa.,POINT (2.453857643 42.116211308)
3620032,CAP Ponts,CAP Ponts,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|,"CT DE LLEIDA, 3",ct.,3,25740,PONTS,251728,NOGUERA,"349,460.65","4,641,958.45",1.184719073,41.91523639,11/11/2025 01:10:32 PM,Horari|De 8 a 15 h dies feiners. Fora d'aquest horari truqueu al 061 Salut Respon.,POINT (1.1847190730000001 41.91523639)
3619932,Consultori local Bonastre,Consultori local Bonastre,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"PL MAJOR, 1",pl.,1,43884,BONASTRE,430304,BAIX PENEDES,"369,242.51","4,564,475.89",1.440043362,41.221109226,11/11/2025 01:10:31 PM,"Horari|Dll, dc i dj: 8.00 a 11.00. Dm i dv: 11.30 a 14.00. Atenció continuada 24 h al CAP Torredembarra.",POINT (1.440043362 41.221109226)
3620083,Atenció continuada CAP Dr. Josep Torner i Fors,Atenció continuada CAP Dr. Josep Torner i Fors,Salut|Centres sanitaris|2. Centres amb atenció continuada|,"AV DE LA COSTA BRAVA, S/N",av.,S/N,8380,MALGRAT DE MAR,81108,MARESME,"478,156.22","4,610,872.19",2.7376779,41.649294188,11/11/2025 01:10:31 PM,"Horari|de dl. a dg. de 8 a 20 h. Fora d'aquest horari truqueu al 061 Salut Respon o adreceu-vos al CAP Pineda de Mar, de 20 a 8 h.",POINT (2.7376779 41.649294188)
3619998,Consultori local Alòs de Balaguer,Consultori local Alòs de Balaguer,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR ESGLÉSIA, 4",cr.,4,25737,ALÒS DE BALAGUER,250220,NOGUERA,"330,934.98","4,642,011.11",0.961440973,41.911962504,11/11/2025 01:10:31 PM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 40 21 96).  Atenció continuada 24 h al CAP Artesa de Segre.,POINT (0.9614409730000001 41.911962504)
3619776,Consultori local Picamoixons (Valls),Consultori local Picamoixons (Valls),Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR SANT ISIDRE, 3",cr.,3,43491,VALLS,431613,ALT CAMP,"353,177.32","4,571,627.11",1.246743293,41.282740799,11/11/2025 01:10:31 PM,"Horari|Medicina familiar i comunitària (excepte del 1/7 al 30/8): Dll, dc, dj i dv: 8.30 a 10.30 (virtual). Dt: 8.30 a 10.30 (presencial).  Infermeria (excepte del 21/7 al 2/8): Dll i dv: 8 a 10. Dc: 15.15 a 17.",POINT (1.246743293 41.282740799)
3619696,Consultori local Puigverd d'Agramunt,Consultori local Puigverd d'Agramunt,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR CENDRA, 5",cr.,5,25318,PUIGVERD D'AGRAMUNT,251811,URGELL,"343,912.84","4,626,791.75",1.121853756,41.777628074,11/11/2025 01:10:31 PM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 39 06 35).  Atenció continuada 24 h al CAP Agramunt.,POINT (1.121853756 41.777628074)
14615676,CUAP Granollers,CUAP Granollers,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR GIRONA, 5",cr.,5,8402,GRANOLLERS,80961,VALLES ORIENTAL,"440,882.41","4,606,612.46",2.290499957,41.60903575,11/11/2025 01:10:31 PM,Horari|24 h.,POINT (2.290499957 41.60903575)
3619828,Consultori local Duesaigües,Consultori local Duesaigües,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR ENSEULA, 7",cr.,7,43773,DUESAIGÜES,430537,BAIX CAMP,"326,249.18","4,556,960.41",0.929540606,41.145366428,11/11/2025 01:10:31 PM,Horari|Dimecres: 12.30 a 14 hrs.,POINT (0.9295406060000001 41.145366428)
3622043,CAS Santa Coloma de Gramenet,CAS Santa Coloma de Gramenet,Salut|Centres sanitaris|6. Centres d'atenció i seguiment a les drogodependències|,"CR ENRIC PRAT DE LA RIBA, 171",cr.,171,8921,SANTA COLOMA DE GRAMENET,82457,BARCELONES,"434,211.83","4,589,975.47",2.212269951,41.458671973,11/11/2025 01:10:31 PM,"Horari|dilluns, dimarts, dijous i divendres, de 8 a 15 h i dimecres de 8 a  20 h",POINT (2.212269951 41.458671973)
34329451,Consultori local Oristà,Consultori local Oristà,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"PL MAJOR, 1",pl.,1,8518,,81516,,"422,114.78","4,642,701.52",2.060555036,41.932436797,11/11/2025 01:10:31 PM,"Horari|dv., de 9 a 10,30h. Fora dels horaris d'obertura us podeu adreçar al CAP Lluçanès o truqueu al 061 Salut Respon.",POINT (2.0605550360000002 41.932436797)
3620669,CAP La Marina,CAP La Marina,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR AMNISTIA INTERNACIONAL, 8-14",cr.,8-14,8038,BARCELONA,80193,BARCELONES,"427,757.97","4,579,278.98",2.136278326,41.361778228,11/11/2025 01:10:31 PM,Horari|De dl. a dv. de 8 a 20 h. Pediatria de dl. a dv. de 8 a 20 h. Fora d'aquest horari telèfon 061 Salut Respon o al CAP Manso (CUAP) i Urgències pediàtriques a Centre d'Atenció Pediàtrica Integral Barcelona Esquerra (CAPIBE) de dl. a dg de 8 h a 22 h,POINT (2.1362783260000002 41.361778228)
3621176,"CAS CECAS Centre Català de Solidaritat, Fundació Privada","CAS CECAS Centre Català de Solidaritat, Fundació Privada",Salut|Centres sanitaris|6. Centres d'atenció i seguiment a les drogodependències|,"CR BANYS NOUS, 16",cr.,16,8002,BARCELONA,80193,BARCELONES,"430,996.01","4,581,563.13",2.174728187,41.382634965,11/11/2025 01:10:31 PM,Horari|De dilluns a divendres de 9 a 14 h i dilluns i dijous de 16 a 19:30 h.,POINT (2.174728187 41.382634965)
34329409,Consultori local Alpens,Consultori local Alpens,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR Lluçanesa, 42",cr.,42,8587,,80044,,"425,503.38","4,663,333.36",2.098802683,42.118564269,11/11/2025 01:10:31 PM,"Horari|dl., de 8,30 a 9,30h., i dj., de 14,30 a 15,30 h. Fora dels horaris d'obertura us podeu adreçar al CAP Sant Quirze de Besora o truqueu al 061 Salut Respon.",POINT (2.098802683 42.118564269)
3620305,Consultori local Castelloli,Consultori local Castelloli,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"AV DE LA UNIÓ, 62",av.,62,8719,CASTELLOLÍ,80636,ANOIA,"391,696.12","4,605,987.73",1.700416265,41.598252237,11/11/2025 01:10:31 PM,Horari|Dilluns de 8 a 15:30h i divendres de 12 a 15:30h.,POINT (1.700416265 41.598252237)
3622821,Atenció continuada CAP Trinitat Vella,Atenció continuada CAP Trinitat Vella,Salut|Centres sanitaris|2. Centres amb atenció continuada|,"VI BARCINO, 88",vi.,88,8033,BARCELONA,80193,BARCELONES,"432,574.40","4,589,133.32",2.192759734,41.4509511,11/11/2025 01:10:31 PM,"Horari|de dl. a dv. de 8 a 20 h. ds. de 9 a 14 h CAP Sant Andreu Fora d'aquest horari Telèfon 061 Salut Respon , CUAP Casernes de Sant Andreu.",POINT (2.192759734 41.4509511)
3620333,Consultori local Lladó,Consultori local Lladó,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR SANTA MARIA, 2",cr.,2,17745,LLADÓ,170887,ALT EMPORDA,"484,569.45","4,677,266.09",2.812953991,42.247434173,11/11/2025 01:10:31 PM,"Horari|dc. de 8 a 11h, dj d'11:40 a 15h, dv de 12 a 15h, en cas d'urgència truqueu al 061 Salut Respon o adreceu-vos al CAP Vilafant de dl. a dv. de 8 a 20 h o a l'Hospital de Figueres.",POINT (2.812953991 42.247434173)
3619667,Consultori local Torrebesses,Consultori local Torrebesses,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR MAJOR, 31",cr.,31,25176,TORREBESSES,252265,SEGRIA,"298,852.12","4,588,838.63",0.592798948,41.425937876,11/11/2025 01:10:31 PM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 72 01 11).,POINT (0.592798948 41.425937876)
3619521,Consultori local Castellnou de Seana,Consultori local Castellnou de Seana,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR CALVARI, 1",cr.,1,25265,CASTELLNOU DE SEANA,250680,PLA D'URGELL,"331,077.70","4,612,696.15",0.971497298,41.648119267,11/11/2025 01:10:31 PM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 71 11 64).  Atenció continuada 24 h al  CAP Mollerussa.,POINT (0.9714972980000001 41.648119267)
31369898,Clínica Galatea,Clínica Galatea,Salut|Centres sanitaris|5. Centres de salut mental|,"CR PALAFOLLS, 15",cr.,15,8017,BARCELONA,80193,BARCELONES,"425,900.09","4,584,733.89",2.113400865,41.410739343,11/11/2025 01:10:31 PM,,POINT (2.113400865 41.410739343)
9026708,Atenció continuada CAP Martí i Julià,Atenció continuada CAP Martí i Julià,Salut|Centres sanitaris|2. Centres amb atenció continuada|,"CR MARTÍ I JULIÀ, 11-19",cr.,11-19,8911,BADALONA,80155,BARCELONES,"437,863.76","4,589,528.97",2.256039551,41.454941581,11/11/2025 01:10:31 PM,"Horari|dissabtes de 9 a 17 h. Fora d'aquest horari, truqueu al 061 Salut Respon o adreceu-vos al CUAP Badalona (obert 24 hores) o a l'Hospital Municipal de Badalona.",POINT (2.256039551 41.454941581)
3620478,Consultori local Rupià,Consultori local Rupià,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"PL D'AVALL, 1",pl.,1,17131,RUPIÀ,171539,BAIX EMPORDA,"500,893.90","4,652,048.29",3.010797038,42.020463226,11/11/2025 01:10:31 PM,Horari|dt. de 9 a 11h. Fora d'aquest horari adreceu-vos al CAP Dra. Casaponsa de La Bisbal d'Empordà,POINT (3.010797038 42.020463226)
3619726,Consultori local Rocafort de Vallbona,Consultori local Rocafort de Vallbona,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR RAVAL, S/N",cr.,S/N,25344,SANT MARTÍ DE RIUCORB,259025,URGELL,"340,986.90","4,601,841.36",1.093306009,41.552439391,11/11/2025 01:10:31 PM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 33 71 57).  Atenció continuada 24 h al  CAP Bellpuig.,POINT (1.093306009 41.552439391)
3622807,Hospital de dia sociosanitari Hospital de la Santa Creu de Vic,Hospital de dia sociosanitari Hospital de la Santa Creu de Vic,Salut|Centres sanitaris|4. Centres sociosanitaris|,"RB HOSPITAL, 52",rb.,52,8500,VIC,82981,OSONA,"437,986.05","4,642,066.27",2.252042042,41.928122418,11/11/2025 01:10:31 PM,,POINT (2.2520420420000002 41.928122418)
33134659,ASSIR CAP Rio de Janeiro,ASSIR CAP Rio de Janeiro,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"AV RIO DE JANEIRO, 83-91",av.,83-91,8016,BARCELONA,80193,BARCELONES,"431,657.59","4,587,886.56",2.181925544,41.439644474,11/11/2025 01:10:31 PM,,POINT (2.181925544 41.439644474)
7512101,Servei de Rehabilitació Comunitària Arep,Servei de Rehabilitació Comunitària Arep,Salut|Centres sanitaris|5. Centres de salut mental|,"PS MARAGALL, 124",ps.,124,8027,BARCELONA,80193,BARCELONES,"431,445.69","4,585,912.10",2.179613198,41.421843231,11/11/2025 01:10:31 PM,,POINT (2.179613198 41.421843231)
3620340,Consultori local Mollet de Peralada,Consultori local Mollet de Peralada,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR DE LA PLAÇA, 12",cr.,12,17752,MOLLET DE PERALADA,171061,ALT EMPORDA,"499,972.71","4,689,814.84",2.999668638,42.360603109,11/11/2025 01:10:31 PM,"Horari|Medicina i Infermeria: dm. De 11:30 a 13h. Atenció Continuada al CAP de Peralada de dl. a dv. fins a les 20h, caps de setmana i festius de 8 a 20h. Fora d'aquest horari truqueu al 061 Salut Respon o adreceu-vos a l'Hospital de Figueres.",POINT (2.999668638 42.360603109)
3620136,Consultori local Planoles,Consultori local Planoles,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR DE L'ESCOLES, 9",cr.,9,17535,PLANOLES,171349,RIPOLLES,"426,351.78","4,685,307.47",2.106278618,42.316526319,11/11/2025 01:10:31 PM,"Horari|dt. de 13 a 14h. amb cita prèvia. Fora d'aquest horari truqueu al 061 Salut Respon o adreceu-vos al CAP Ribes de Fresser, de 8 a 20h i la resta de l'horari a l'Hospital de Campdevànol.",POINT (2.106278618 42.316526319)
3622678,CAP Santa Eugènia de Berga,CAP Santa Eugènia de Berga,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|,"CR DE LES ESCOLES, 1",cr.,1,8507,SANTA EUGÈNIA DE BERGA,82460,OSONA,"440,683.87","4,639,105.27",2.284876011,41.901662691,11/11/2025 01:10:32 PM,"Horari|de dl. a dv. de 8 a 20 h. Fora d'aquest horari adreceu-vos ds. i dg i festius de  8 a 20 h al CAP Tona, i de 20 a 8h. cada dia al PAC Osona (Hospital de Vic).",POINT (2.284876011 41.901662691)
3620406,CAP Sils,CAP Sils,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"PS SANT COSME I SANT DAMIÀ, S/N",ps.,S/N,17410,SILS,171931,SELVA,"478,536.31","4,628,454.36",2.741608612,41.807667226,11/11/2025 01:10:31 PM,Horari|de dl. a dg. de 8 a 20h. Fora d'aquest horari truqueu al 061 Salut Respon o adreceu-vos al CAP la Selva de Santa Coloma de Farners.,POINT (2.7416086120000003 41.807667226)
3620373,CAP Sant Fruitós de Bages,CAP Sant Fruitós de Bages,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR BERTRAND I SERRA, 8, pis BA",cr.,8,8272,SANT FRUITÓS DE BAGES,82135,BAGES,"406,252.50","4,622,812.87",1.872407644,41.751611607,11/11/2025 01:10:31 PM,"Horari|de dl., a dv., de 8 a 20 h. Els dl., dc. i dv. de 8 h a 20 h us podeu adreçar al CAP Navarcles o truqueu al 061 Salut Respon.",POINT (1.872407644 41.751611607)
3621537,Hospital de dia de salut mental Hospital de dia d'adolescents (Hosp.St.Pere Claver),Hospital de dia de salut mental Hospital de dia d'adolescents (Hosp.St.Pere Claver),Salut|Centres sanitaris|5. Centres de salut mental|,"CR MARE DE DÉU DEL PORT, 344-346",cr.,344-346,8038,BARCELONA,80193,BARCELONES,"428,040.99","4,579,686.41",2.139613302,41.36547313,11/11/2025 01:10:31 PM,,POINT (2.139613302 41.36547313)
3620493,Consultori local Cruïlles,Consultori local Cruïlles,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,"CR GESSAMÍ, 6",cr.,6,17116,"CRUÏLLES, MONELLS I SANT SADURNÍ DE L'HE",179011,BAIX EMPORDA,"500,931.23","4,644,863.48",3.011236577,41.955751775,11/11/2025 01:10:31 PM,Horari|dc. d'11:30 a 14h. cada 3 setmanes. Fora d'aquest horari adreceu-vos al al CAP La Bisbal d'Emporda o a l'Hospital de Palamós,POINT (3.011236577 41.955751775)
