Comarca,Sexe,Cause,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
ALT CAMP,Total,IV.Endocrines,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,579.29,17.31
ALT CAMP,Total,V.Mentals,0,0,0,0,0,0,0,0,1,4,13,18,0,0,0,0,0,0,0,0,21.43,131.62,941.35,38.95
ALT CAMP,Total,VI.Nerviós,0,0,0,1,0,0,1,2,2,6,7,19,0,0,0,19.42,0,0,13.4,30.55,42.85,197.43,506.88,41.11
ALT CAMP,Total,VII.Ull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Total,VIII.Oïda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Total,IX.Circulatori,0,0,0,0,1,0,1,6,12,23,46,89,0,0,0,0,20.36,0,13.4,91.66,257.12,756.83,3330.92,192.59
ALT CAMP,Total,X.Respiratori,0,0,0,0,0,0,1,1,1,10,28,41,0,0,0,0,0,0,13.4,15.28,21.43,329.06,2027.52,88.72
ALT CAMP,Total,XI.Digestiu,0,0,0,0,0,0,1,3,5,7,8,24,0,0,0,0,0,0,13.4,45.83,107.14,230.34,579.29,51.93
ALT CAMP,Total,XII.Pell,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,32.91,144.82,6.49
ALT CAMP,Total,XIII.Osteomuscular,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,362.06,10.82
ALT CAMP,Total,XIV.Genitourinari,0,0,0,0,0,0,0,0,2,8,9,19,0,0,0,0,0,0,0,0,42.85,263.24,651.7,41.11
ALT CAMP,Total,XV.Embaràs i part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Total,XVI.Perinatal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Total,XVII.Congènites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT CAMP,Total,XVIII.Mal definides,0,0,0,0,0,0,0,2,1,4,20,27,0,0,0,0,0,0,0,30.55,21.43,131.62,1448.23,58.43
ALT CAMP,Total,XX.Externes,0,0,0,1,0,3,3,5,1,1,5,19,0,0,0,19.42,0,46.84,40.19,76.38,21.43,32.91,362.06,41.11
ALT CAMP,Total,XXI. Total,0,0,0,2,1,4,16,43,60,102,185,413,0,0,0,38.83,20.36,62.45,214.33,656.89,1285.62,3356.37,13396.09,893.71
ALT EMPORDÀ,Dones,I.Infeccioses,0,0,0,0,0,0,0,3,3,6,11,23,0,0,0,0,0,0,0,30.62,39.94,119.09,376.84,31.24
ALT EMPORDÀ,Dones,II.Tumors,0,0,0,0,0,3,15,23,23,38,37,139,0,0,0,0,0,28.81,132.57,234.74,306.22,754.27,1267.56,188.83
ALT EMPORDÀ,Dones,III.Sang,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,19.85,34.26,2.72
ALT EMPORDÀ,Dones,IV.Endocrines,0,0,0,1,0,1,0,0,2,4,18,26,0,0,0,12.74,0,9.6,0,0,26.63,79.4,616.65,35.32
ALT EMPORDÀ,Dones,V.Mentals,0,0,0,0,0,0,0,0,1,3,24,28,0,0,0,0,0,0,0,0,13.31,59.55,822.2,38.04
ALT EMPORDÀ,Dones,VI.Nerviós,0,0,0,0,0,0,0,1,5,3,16,25,0,0,0,0,0,0,0,10.21,66.57,59.55,548.13,33.96
ALT EMPORDÀ,Dones,VII.Ull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT EMPORDÀ,Dones,VIII.Oïda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT EMPORDÀ,Dones,IX.Circulatori,0,0,0,0,0,1,0,3,12,34,108,158,0,0,0,0,0,9.6,0,30.62,159.77,674.87,3699.9,214.64
ALT EMPORDÀ,Dones,X.Respiratori,0,0,0,0,0,0,1,1,3,2,47,54,0,0,0,0,0,0,8.84,10.21,39.94,39.7,1610.14,73.36
ALT EMPORDÀ,Dones,XI.Digestiu,0,0,0,0,0,0,2,5,2,6,9,24,0,0,0,0,0,0,17.68,51.03,26.63,119.09,308.32,32.6
ALT EMPORDÀ,Dones,XII.Pell,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,137.03,5.43
ALT EMPORDÀ,Dones,XIII.Osteomuscular,0,0,0,0,0,0,0,1,0,1,5,7,0,0,0,0,0,0,0,10.21,0,19.85,171.29,9.51
ALT EMPORDÀ,Dones,XIV.Genitourinari,0,0,0,0,0,0,0,0,1,4,20,25,0,0,0,0,0,0,0,0,13.31,79.4,685.17,33.96
ALT EMPORDÀ,Dones,XV.Embaràs i part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT EMPORDÀ,Dones,XVI.Perinatal,1,0,0,0,0,0,0,0,0,0,0,1,185.87,0,0,0,0,0,0,0,0,0,0,1.36
ALT EMPORDÀ,Dones,XVII.Congènites,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10.21,0,0,0,1.36
ALT EMPORDÀ,Dones,XVIII.Mal definides,0,0,0,0,0,0,1,2,1,0,4,8,0,0,0,0,0,0,8.84,20.41,13.31,0,137.03,10.87
ALT EMPORDÀ,Dones,XX.Externes,0,0,0,0,0,0,4,0,1,3,7,15,0,0,0,0,0,0,35.35,0,13.31,59.55,239.81,20.38
ALT EMPORDÀ,Dones,XXI. Total,1,0,0,1,0,5,23,40,54,105,311,540,185.87,0,0,12.74,0,48.02,203.27,408.25,718.95,2084.16,10654.33,733.58
ALT EMPORDÀ,Homes,I.Infeccioses,0,0,0,0,0,0,1,2,5,4,10,22,0,0,0,0,0,0,8.18,19.96,70.63,95.47,645.58,29.69
ALT EMPORDÀ,Homes,II.Tumors,0,0,0,0,0,4,7,30,56,66,43,206,0,0,0,0,0,37.9,57.25,299.37,791.07,1575.18,2775.98,278.02
ALT EMPORDÀ,Homes,III.Sang,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,14.13,23.87,129.12,5.4
ALT EMPORDÀ,Homes,IV.Endocrines,0,0,0,0,1,0,1,3,4,13,9,31,0,0,0,0,11.45,0,8.18,29.94,56.51,310.26,581.02,41.84
ALT EMPORDÀ,Homes,V.Mentals,0,0,0,0,0,0,0,1,3,7,11,22,0,0,0,0,0,0,0,9.98,42.38,167.06,710.14,29.69
ALT EMPORDÀ,Homes,VI.Nerviós,0,0,0,0,0,0,0,0,5,4,12,21,0,0,0,0,0,0,0,0,70.63,95.47,774.69,28.34
ALT EMPORDÀ,Homes,VII.Ull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT EMPORDÀ,Homes,VIII.Oïda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT EMPORDÀ,Homes,IX.Circulatori,0,0,0,0,0,0,8,11,24,52,59,154,0,0,0,0,0,0,65.43,109.77,339.03,1241.05,3808.91,207.84
ALT EMPORDÀ,Homes,X.Respiratori,0,0,0,0,0,1,1,5,5,21,28,61,0,0,0,0,0,9.48,8.18,49.9,70.63,501.19,1807.62,82.33
ALT EMPORDÀ,Homes,XI.Digestiu,0,0,0,0,0,2,1,7,6,17,11,44,0,0,0,0,0,18.95,8.18,69.85,84.76,405.73,710.14,59.38
ALT EMPORDÀ,Homes,XII.Pell,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,64.56,1.35
ALT EMPORDÀ,Homes,XIII.Osteomuscular,0,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,9.98,0,23.87,129.12,5.4
ALT EMPORDÀ,Homes,XIV.Genitourinari,0,0,0,0,0,0,0,0,2,6,9,17,0,0,0,0,0,0,0,0,28.25,143.2,581.02,22.94
ALT EMPORDÀ,Homes,XV.Embaràs i part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT EMPORDÀ,Homes,XVI.Perinatal,1,0,0,0,0,0,0,0,0,0,0,1,169.49,0,0,0,0,0,0,0,0,0,0,1.35
ALT EMPORDÀ,Homes,XVII.Congènites,1,0,0,1,0,0,0,1,0,1,0,4,169.49,0,0,11.78,0,0,0,9.98,0,23.87,0,5.4
ALT EMPORDÀ,Homes,XVIII.Mal definides,0,0,0,1,1,0,1,4,5,1,4,17,0,0,0,11.78,11.45,0,8.18,39.92,70.63,23.87,258.23,22.94
ALT EMPORDÀ,Homes,XX.Externes,0,0,1,3,2,2,10,8,5,8,10,49,0,0,12.35,35.35,22.9,18.95,81.79,79.83,70.63,190.93,645.58,66.13
ALT EMPORDÀ,Homes,XXI. Total,2,0,1,5,4,9,30,73,121,202,211,658,338.98,0,12.35,58.92,45.79,85.28,245.36,728.47,1709.28,4821,13621.69,888.04
ALT EMPORDÀ,Total,I.Infeccioses,0,0,0,0,0,0,1,5,8,10,21,45,0,0,0,0,0,0,4.25,25.23,54.83,108.37,470.01,30.47
ALT EMPORDÀ,Total,II.Tumors,0,0,0,0,0,7,22,53,79,104,80,345,0,0,0,0,0,33.39,93.45,267.42,541.47,1127,1790.51,233.57
ALT EMPORDÀ,Total,III.Sang,0,0,0,0,0,0,0,0,1,2,3,6,0,0,0,0,0,0,0,0,6.85,21.67,67.14,4.06
ALT EMPORDÀ,Total,IV.Endocrines,0,0,0,1,1,1,1,3,6,17,27,57,0,0,0,6.12,5.95,4.77,4.25,15.14,41.12,184.22,604.3,38.59
ALT EMPORDÀ,Total,V.Mentals,0,0,0,0,0,0,0,1,4,10,35,50,0,0,0,0,0,0,0,5.05,27.42,108.37,783.35,33.85
ALT EMPORDÀ,Total,VI.Nerviós,0,0,0,0,0,0,0,1,10,7,28,46,0,0,0,0,0,0,0,5.05,68.54,75.86,626.68,31.14
ALT EMPORDÀ,Total,VII.Ull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT EMPORDÀ,Total,VIII.Oïda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT EMPORDÀ,Total,IX.Circulatori,0,0,0,0,0,1,8,14,36,86,167,312,0,0,0,0,0,4.77,33.98,70.64,246.74,931.95,3737.69,211.23
ALT EMPORDÀ,Total,X.Respiratori,0,0,0,0,0,1,2,6,8,23,75,115,0,0,0,0,0,4.77,8.5,30.27,54.83,249.24,1678.6,77.86
ALT EMPORDÀ,Total,XI.Digestiu,0,0,0,0,0,2,3,12,8,23,20,68,0,0,0,0,0,9.54,12.74,60.55,54.83,249.24,447.63,46.04
ALT EMPORDÀ,Total,XII.Pell,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,111.91,3.39
ALT EMPORDÀ,Total,XIII.Osteomuscular,0,0,0,0,0,0,0,2,0,2,7,11,0,0,0,0,0,0,0,10.09,0,21.67,156.67,7.45
ALT EMPORDÀ,Total,XIV.Genitourinari,0,0,0,0,0,0,0,0,3,10,29,42,0,0,0,0,0,0,0,0,20.56,108.37,649.06,28.43
ALT EMPORDÀ,Total,XV.Embaràs i part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT EMPORDÀ,Total,XVI.Perinatal,2,0,0,0,0,0,0,0,0,0,0,2,177.3,0,0,0,0,0,0,0,0,0,0,1.35
ALT EMPORDÀ,Total,XVII.Congènites,1,0,0,1,0,0,0,2,0,1,0,5,88.65,0,0,6.12,0,0,0,10.09,0,10.84,0,3.39
ALT EMPORDÀ,Total,XVIII.Mal definides,0,0,0,1,1,0,2,6,6,1,8,25,0,0,0,6.12,5.95,0,8.5,30.27,41.12,10.84,179.05,16.93
ALT EMPORDÀ,Total,XX.Externes,0,0,1,3,2,2,14,8,6,11,17,64,0,0,6.31,18.37,11.9,9.54,59.47,40.37,41.12,119.2,380.48,43.33
ALT EMPORDÀ,Total,XXI. Total,3,0,1,6,4,14,53,113,175,307,522,1198,265.96,0,6.31,36.74,23.8,66.77,225.13,570.16,1199.45,3326.83,11683.08,811.06
ALT PENEDÈS,Dones,I.Infeccioses,0,0,0,0,0,0,0,1,0,4,13,18,0,0,0,0,0,0,0,13.43,0,106.3,610.62,31.79
ALT PENEDÈS,Dones,II.Tumors,0,0,0,0,2,1,5,16,18,30,23,95,0,0,0,0,35.43,12.78,52.48,214.85,319.77,797.24,1080.32,167.76
ALT PENEDÈS,Dones,III.Sang,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,46.97,1.77
ALT PENEDÈS,Dones,IV.Endocrines,0,0,1,0,0,0,0,0,2,5,11,19,0,0,16.15,0,0,0,0,0,35.53,132.87,516.67,33.55
ALT PENEDÈS,Dones,V.Mentals,0,0,0,0,0,0,0,0,0,4,21,25,0,0,0,0,0,0,0,0,0,106.3,986.38,44.15
ALT PENEDÈS,Dones,VI.Nerviós,0,0,0,0,0,1,0,0,2,2,20,25,0,0,0,0,0,12.78,0,0,35.53,53.15,939.41,44.15
ALT PENEDÈS,Dones,VII.Ull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Dones,VIII.Oïda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Dones,IX.Circulatori,0,0,0,0,0,0,2,5,5,14,78,104,0,0,0,0,0,0,20.99,67.14,88.83,372.04,3663.69,183.66
ALT PENEDÈS,Dones,X.Respiratori,0,0,0,0,0,0,0,3,4,6,26,39,0,0,0,0,0,0,0,40.28,71.06,159.45,1221.23,68.87
ALT PENEDÈS,Dones,XI.Digestiu,0,0,0,0,1,0,0,2,2,7,10,22,0,0,0,0,17.71,0,0,26.86,35.53,186.02,469.7,38.85
ALT PENEDÈS,Dones,XII.Pell,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,93.94,3.53
ALT PENEDÈS,Dones,XIII.Osteomuscular,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,132.87,234.85,17.66
ALT PENEDÈS,Dones,XIV.Genitourinari,0,0,0,0,0,0,0,0,1,3,16,20,0,0,0,0,0,0,0,0,17.77,79.72,751.53,35.32
ALT PENEDÈS,Dones,XV.Embaràs i part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Dones,XVI.Perinatal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Dones,XVII.Congènites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Dones,XVIII.Mal definides,0,0,0,0,0,0,0,0,1,3,14,18,0,0,0,0,0,0,0,0,17.77,79.72,657.59,31.79
ALT PENEDÈS,Dones,XX.Externes,0,0,0,0,2,0,1,1,1,8,5,18,0,0,0,0,35.43,0,10.5,13.43,17.77,212.6,234.85,31.79
ALT PENEDÈS,Dones,XXI. Total,0,0,1,0,5,2,8,28,36,91,245,416,0,0,16.15,0,88.57,25.56,83.96,375.99,639.55,2418.28,11507.75,734.63
ALT PENEDÈS,Homes,I.Infeccioses,0,0,0,0,0,0,0,1,1,7,3,12,0,0,0,0,0,0,0,13.01,19.17,234.43,271.99,21.15
ALT PENEDÈS,Homes,II.Tumors,0,1,0,0,1,2,8,15,54,39,22,142,0,51.73,0,0,17.3,25.63,77.33,195.11,1035.08,1306.1,1994.56,250.29
ALT PENEDÈS,Homes,III.Sang,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,66.98,181.32,7.05
ALT PENEDÈS,Homes,IV.Endocrines,0,0,0,0,0,0,1,2,1,5,7,16,0,0,0,0,0,0,9.67,26.01,19.17,167.45,634.63,28.2
ALT PENEDÈS,Homes,V.Mentals,0,0,0,0,0,0,0,2,3,4,15,24,0,0,0,0,0,0,0,26.01,57.5,133.96,1359.93,42.3
ALT PENEDÈS,Homes,VI.Nerviós,0,0,0,0,0,0,0,3,6,7,12,28,0,0,0,0,0,0,0,39.02,115.01,234.43,1087.94,49.35
ALT PENEDÈS,Homes,VII.Ull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Homes,VIII.Oïda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Homes,IX.Circulatori,0,0,1,0,0,0,4,8,17,34,46,110,0,0,15.16,0,0,0,38.67,104.06,325.86,1138.65,4170.44,193.88
ALT PENEDÈS,Homes,X.Respiratori,0,0,0,0,0,1,1,2,6,13,18,41,0,0,0,0,0,12.82,9.67,26.01,115.01,435.37,1631.91,72.27
ALT PENEDÈS,Homes,XI.Digestiu,0,0,0,0,0,0,1,3,7,10,9,30,0,0,0,0,0,0,9.67,39.02,134.18,334.9,815.96,52.88
ALT PENEDÈS,Homes,XII.Pell,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,66.98,0,3.53
ALT PENEDÈS,Homes,XIII.Osteomuscular,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,66.98,271.99,8.81
ALT PENEDÈS,Homes,XIV.Genitourinari,0,0,0,0,0,0,0,0,3,5,14,22,0,0,0,0,0,0,0,0,57.5,167.45,1269.27,38.78
ALT PENEDÈS,Homes,XV.Embaràs i part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Homes,XVI.Perinatal,2,0,0,0,0,0,0,0,0,0,0,2,470.59,0,0,0,0,0,0,0,0,0,0,3.53
ALT PENEDÈS,Homes,XVII.Congènites,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,90.66,1.76
ALT PENEDÈS,Homes,XVIII.Mal definides,0,0,0,0,0,0,2,2,0,3,7,14,0,0,0,0,0,0,19.33,26.01,0,100.47,634.63,24.68
ALT PENEDÈS,Homes,XX.Externes,0,0,0,0,4,4,4,1,3,4,5,25,0,0,0,0,69.22,51.26,38.67,13.01,57.5,133.96,453.31,44.06
ALT PENEDÈS,Homes,XXI. Total,2,1,1,0,5,7,21,39,101,137,164,478,470.59,51.73,15.16,0,86.52,89.71,203,507.28,1935.98,4588.08,14868.54,842.51
ALT PENEDÈS,Total,I.Infeccioses,0,0,0,0,0,0,0,2,1,11,16,30,0,0,0,0,0,0,0,13.21,9.22,162.99,495.05,26.46
ALT PENEDÈS,Total,II.Tumors,0,1,0,0,3,3,13,31,72,69,45,237,0,26.79,0,0,26.26,19.2,65.42,204.82,663.84,1022.37,1392.33,209.06
ALT PENEDÈS,Total,III.Sang,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,29.63,92.82,4.41
ALT PENEDÈS,Total,IV.Endocrines,0,0,1,0,0,0,1,2,3,10,18,35,0,0,7.82,0,0,0,5.03,13.21,27.66,148.17,556.93,30.87
ALT PENEDÈS,Total,V.Mentals,0,0,0,0,0,0,0,2,3,8,36,49,0,0,0,0,0,0,0,13.21,27.66,118.54,1113.86,43.22
ALT PENEDÈS,Total,VI.Nerviós,0,0,0,0,0,1,0,3,8,9,32,53,0,0,0,0,0,6.4,0,19.82,73.76,133.35,990.1,46.75
ALT PENEDÈS,Total,VII.Ull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Total,VIII.Oïda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALT PENEDÈS,Total,IX.Circulatori,0,0,1,0,0,0,6,13,22,48,124,214,0,0,7.82,0,0,0,30.19,85.89,202.84,711.22,3836.63,188.78
ALT PENEDÈS,Total,X.Respiratori,0,0,0,0,0,1,1,5,10,19,44,80,0,0,0,0,0,6.4,5.03,33.04,92.2,281.52,1361.39,70.57
ALT PENEDÈS,Total,XI.Digestiu,0,0,0,0,1,0,1,5,9,17,19,52,0,0,0,0,8.75,0,5.03,33.04,82.98,251.89,587.87,45.87
ALT PENEDÈS,Total,XII.Pell,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,29.63,61.88,3.53
ALT PENEDÈS,Total,XIII.Osteomuscular,0,0,0,0,0,0,0,0,0,7,8,15,0,0,0,0,0,0,0,0,0,103.72,247.52,13.23
ALT PENEDÈS,Total,XIV.Genitourinari,0,0,0,0,0,0,0,0,4,8,30,42,0,0,0,0,0,0,0,0,36.88,118.54,928.22,37.05
ALT PENEDÈS,Total,XV.Embaràs i part,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
