Provincia de residencia	Causas (lista reducida)	Sexo	Edad	Total
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 90 a 94 años	4.876
Cataluña	001-102 I-XXII.Todas las causas	Hombres	De 95 años y más	1.925
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	Todas las edades	33.802
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	Menores de 1 año	66
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 1 a 14 años	37
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 15 a 29 años	90
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 30 a 39 años	133
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 40 a 44 años	161
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 45 a 49 años	280
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 50 a 54 años	497
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 55 a 59 años	717
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 60 a 64 años	1.040
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 65 a 69 años	1.407
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 70 a 74 años	1.858
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 75 a 79 años	2.833
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 80 a 84 años	4.109
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 85 a 89 años	6.801
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 90 a 94 años	8.282
Cataluña	001-102 I-XXII.Todas las causas	Mujeres	De 95 años y más	5.491
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	Todas las edades	1.797
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	Menores de 1 año	1
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 1 a 14 años	4
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 15 a 29 años	7
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 30 a 39 años	9
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 40 a 44 años	5
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 45 a 49 años	16
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 50 a 54 años	22
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 55 a 59 años	31
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 60 a 64 años	64
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 65 a 69 años	70
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 70 a 74 años	117
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 75 a 79 años	214
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 80 a 84 años	272
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 85 a 89 años	352
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 90 a 94 años	410
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Ambos sexos	De 95 años y más	203
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	Todas las edades	914
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	Menores de 1 año	1
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 1 a 14 años	3
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 15 a 29 años	5
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 30 a 39 años	7
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 40 a 44 años	2
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 45 a 49 años	13
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 50 a 54 años	14
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 55 a 59 años	17
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 60 a 64 años	42
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 65 a 69 años	46
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 70 a 74 años	74
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 75 a 79 años	131
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 80 a 84 años	164
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 85 a 89 años	166
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 90 a 94 años	166
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Hombres	De 95 años y más	63
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	Todas las edades	883
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	Menores de 1 año	0
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 1 a 14 años	1
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 15 a 29 años	2
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 30 a 39 años	2
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 40 a 44 años	3
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 45 a 49 años	3
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 50 a 54 años	8
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 55 a 59 años	14
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 60 a 64 años	22
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 65 a 69 años	24
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 70 a 74 años	43
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 75 a 79 años	83
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 80 a 84 años	108
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 85 a 89 años	186
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 90 a 94 años	244
Cataluña	001-008 I.Enfermedades infecciosas y parasitarias	Mujeres	De 95 años y más	140
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	Todas las edades	840
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	Menores de 1 año	0
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 1 a 14 años	0
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 15 a 29 años	1
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 30 a 39 años	1
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 40 a 44 años	1
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 45 a 49 años	1
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 50 a 54 años	3
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 55 a 59 años	8
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 60 a 64 años	20
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 65 a 69 años	21
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 70 a 74 años	52
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 75 a 79 años	102
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 80 a 84 años	132
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 85 a 89 años	181
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 90 a 94 años	212
Cataluña	00A Covid-19 Virus identificado	Ambos sexos	De 95 años y más	105
Cataluña	00A Covid-19 Virus identificado	Hombres	Todas las edades	454
Cataluña	00A Covid-19 Virus identificado	Hombres	Menores de 1 año	0
Cataluña	00A Covid-19 Virus identificado	Hombres	De 1 a 14 años	0
Cataluña	00A Covid-19 Virus identificado	Hombres	De 15 a 29 años	1
Cataluña	00A Covid-19 Virus identificado	Hombres	De 30 a 39 años	0
Cataluña	00A Covid-19 Virus identificado	Hombres	De 40 a 44 años	0
Cataluña	00A Covid-19 Virus identificado	Hombres	De 45 a 49 años	1
Cataluña	00A Covid-19 Virus identificado	Hombres	De 50 a 54 años	2
Cataluña	00A Covid-19 Virus identificado	Hombres	De 55 a 59 años	4
Cataluña	00A Covid-19 Virus identificado	Hombres	De 60 a 64 años	14
Cataluña	00A Covid-19 Virus identificado	Hombres	De 65 a 69 años	16
Cataluña	00A Covid-19 Virus identificado	Hombres	De 70 a 74 años	30
Cataluña	00A Covid-19 Virus identificado	Hombres	De 75 a 79 años	67
Cataluña	00A Covid-19 Virus identificado	Hombres	De 80 a 84 años	92
Cataluña	00A Covid-19 Virus identificado	Hombres	De 85 a 89 años	101
Cataluña	00A Covid-19 Virus identificado	Hombres	De 90 a 94 años	96
Cataluña	00A Covid-19 Virus identificado	Hombres	De 95 años y más	30
Cataluña	00A Covid-19 Virus identificado	Mujeres	Todas las edades	386
Cataluña	00A Covid-19 Virus identificado	Mujeres	Menores de 1 año	0
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 1 a 14 años	0
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 15 a 29 años	0
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 30 a 39 años	1
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 40 a 44 años	1
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 45 a 49 años	0
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 50 a 54 años	1
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 55 a 59 años	4
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 60 a 64 años	6
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 65 a 69 años	5
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 70 a 74 años	22
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 75 a 79 años	35
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 80 a 84 años	40
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 85 a 89 años	80
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 90 a 94 años	116
Cataluña	00A Covid-19 Virus identificado	Mujeres	De 95 años y más	75
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	Todas las edades	1
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	Menores de 1 año	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 1 a 14 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 15 a 29 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 30 a 39 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 40 a 44 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 45 a 49 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 50 a 54 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 55 a 59 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 60 a 64 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 65 a 69 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 70 a 74 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 75 a 79 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 80 a 84 años	1
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 85 a 89 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 90 a 94 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Ambos sexos	De 95 años y más	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	Todas las edades	1
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	Menores de 1 año	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 1 a 14 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 15 a 29 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 30 a 39 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 40 a 44 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 45 a 49 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	1
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Hombres	De 95 años y más	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	Todas las edades	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	Menores de 1 año	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 1 a 14 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 15 a 29 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 30 a 39 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 40 a 44 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 45 a 49 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	0
Cataluña	00B Covid-19 Virus no identificado (sospechoso)	Mujeres	De 95 años y más	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	Todas las edades	2
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	Menores de 1 año	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 1 a 14 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 15 a 29 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 30 a 39 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 40 a 44 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 45 a 49 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 50 a 54 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 55 a 59 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 60 a 64 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 65 a 69 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 70 a 74 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 75 a 79 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 80 a 84 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 85 a 89 años	1
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 90 a 94 años	1
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Ambos sexos	De 95 años y más	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	Todas las edades	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	Menores de 1 año	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 1 a 14 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 15 a 29 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 30 a 39 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 40 a 44 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 45 a 49 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 50 a 54 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 55 a 59 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 60 a 64 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 65 a 69 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 70 a 74 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 75 a 79 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 80 a 84 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 85 a 89 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 90 a 94 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Hombres	De 95 años y más	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	Todas las edades	2
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	Menores de 1 año	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 1 a 14 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 15 a 29 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 30 a 39 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 40 a 44 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 45 a 49 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 50 a 54 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 55 a 59 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 60 a 64 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 65 a 69 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 70 a 74 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 75 a 79 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 80 a 84 años	0
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 85 a 89 años	1
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 90 a 94 años	1
Cataluña	00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado	Mujeres	De 95 años y más	0
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	Todas las edades	158
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	Menores de 1 año	0
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 1 a 14 años	1
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 15 a 29 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 30 a 39 años	1
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 40 a 44 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 45 a 49 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 50 a 54 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 55 a 59 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 60 a 64 años	4
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 65 a 69 años	6
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 70 a 74 años	9
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 75 a 79 años	15
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 80 a 84 años	15
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 85 a 89 años	40
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 90 a 94 años	40
Cataluña	001 Enfermedades infecciosas intestinales	Ambos sexos	De 95 años y más	27
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	Todas las edades	61
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	Menores de 1 año	0
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 1 a 14 años	1
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 15 a 29 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 30 a 39 años	1
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 40 a 44 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 45 a 49 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 50 a 54 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 55 a 59 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 60 a 64 años	1
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 65 a 69 años	2
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 70 a 74 años	9
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 75 a 79 años	6
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 80 a 84 años	4
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 85 a 89 años	16
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 90 a 94 años	12
Cataluña	001 Enfermedades infecciosas intestinales	Hombres	De 95 años y más	9
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	Todas las edades	97
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	Menores de 1 año	0
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 1 a 14 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 15 a 29 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 30 a 39 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 40 a 44 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 45 a 49 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 50 a 54 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 55 a 59 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 60 a 64 años	3
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 65 a 69 años	4
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 70 a 74 años	0
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 75 a 79 años	9
Cataluña	001 Enfermedades infecciosas intestinales	Mujeres	De 80 a 84 años	11
